district,funding_eur,grants,log_funding
1,27702430.59,150,7.44251787540073
2,5733375.46,188,6.758410383230618
3,36125005,148,7.557807915874563
4,5268950,126,6.721724077330213
5,3884100,107,6.589290402721322
6,78256136.92,92,7.893518405336495
7,62768587.27,167,7.797742354112749
8,13627810,72,7.134426069970188
9,9562696.55,133,6.98058037466658
10,614170,53,5.788288598898554
11,954200,16,5.979639412222907
12,2909200,58,6.463773578899397
13,198100,22,5.296884475538547
14,1191325.46,62,6.076030423257025
15,4850263,130,6.685765288365557
16,2288900,95,6.3596268191503516
17,1594650,59,6.202665377206015
18,801312.16,53,5.903801733257483
19,1482777,48,6.171075840878869
20,3358600,75,6.526158283646069
21,938300,23,5.972341716325748
22,543761.79,43,5.7354086865630265
23,1078300,28,6.0327396052094935
