Entity,Code,Year,Electric cars,Non-electric cars
World,OWID_WRL,2010,7450,62075883
World,OWID_WRL,2011,49000,68006556
World,OWID_WRL,2012,119000,69881000
World,OWID_WRL,2013,201000,69109345
World,OWID_WRL,2014,330000,74670000
World,OWID_WRL,2015,520000,75950588
World,OWID_WRL,2016,780000,81325263
World,OWID_WRL,2017,1200000,84514286
World,OWID_WRL,2018,2050000,83366667
World,OWID_WRL,2019,2080000,74957037
World,OWID_WRL,2020,2980000,64747273
World,OWID_WRL,2021,6600000,64367742
World,OWID_WRL,2022,10200000,57800000
World,OWID_WRL,2023,13700000,62411111
World,OWID_WRL,2024,17500000,65833333
World,OWID_WRL,2025,21200000,63600000
