Entity,Code,Year,Global temperature anomaly
World,OWID_WRL,1850,-0.06252327
World,OWID_WRL,1851,0.10044155
World,OWID_WRL,1852,0.13990693
World,OWID_WRL,1853,0.101611085
World,OWID_WRL,1854,0.07037581
World,OWID_WRL,1855,0.0725734
World,OWID_WRL,1856,0.035869516
World,OWID_WRL,1857,-0.10189607
World,OWID_WRL,1858,-0.032796256
World,OWID_WRL,1859,0.07198254
World,OWID_WRL,1860,-0.04316949
World,OWID_WRL,1861,-0.09973674
World,OWID_WRL,1862,-0.19086556
World,OWID_WRL,1863,-0.018886646
World,OWID_WRL,1864,-0.13017713
World,OWID_WRL,1865,-0.028281799
World,OWID_WRL,1866,-0.036202036
World,OWID_WRL,1867,-0.035454713
World,OWID_WRL,1868,0.0008390935
World,OWID_WRL,1869,0.04543773
World,OWID_WRL,1870,0.036178626
World,OWID_WRL,1871,-0.0094633605
World,OWID_WRL,1872,0.054508634
World,OWID_WRL,1873,0.04278163
World,OWID_WRL,1874,-0.001451364
World,OWID_WRL,1875,-0.00278773
World,OWID_WRL,1876,-0.046886496
World,OWID_WRL,1877,0.28153554
World,OWID_WRL,1878,0.37427387
World,OWID_WRL,1879,0.07522429
World,OWID_WRL,1880,0.060786255
World,OWID_WRL,1881,0.15094857
World,OWID_WRL,1882,0.09185199
World,OWID_WRL,1883,0.03640274
World,OWID_WRL,1884,-0.11048927
World,OWID_WRL,1885,-0.09417247
World,OWID_WRL,1886,-0.044213854
World,OWID_WRL,1887,-0.12438171
World,OWID_WRL,1888,-0.008627316
World,OWID_WRL,1889,0.11355785
World,OWID_WRL,1890,-0.13629024
World,OWID_WRL,1891,-0.03357353
World,OWID_WRL,1892,-0.14260815
World,OWID_WRL,1893,-0.13098629
World,OWID_WRL,1894,-0.11478632
World,OWID_WRL,1895,-0.07787656
World,OWID_WRL,1896,0.08536542
World,OWID_WRL,1897,0.109309204
World,OWID_WRL,1898,-0.110081755
World,OWID_WRL,1899,0.019652942
World,OWID_WRL,1900,0.13379936
World,OWID_WRL,1901,0.076807
World,OWID_WRL,1902,-0.07343387
World,OWID_WRL,1903,-0.17125247
World,OWID_WRL,1904,-0.23310672
World,OWID_WRL,1905,-0.04198443
World,OWID_WRL,1906,0.048589446
World,OWID_WRL,1907,-0.1355211
World,OWID_WRL,1908,-0.14259313
World,OWID_WRL,1909,-0.16894333
World,OWID_WRL,1910,-0.15812288
World,OWID_WRL,1911,-0.17583631
World,OWID_WRL,1912,-0.11218607
World,OWID_WRL,1913,-0.09955799
World,OWID_WRL,1914,0.104505904
World,OWID_WRL,1915,0.17337433
World,OWID_WRL,1916,-0.05626356
World,OWID_WRL,1917,-0.1799336
World,OWID_WRL,1918,-0.06207218
World,OWID_WRL,1919,0.031567015
World,OWID_WRL,1920,0.059566654
World,OWID_WRL,1921,0.12256629
World,OWID_WRL,1922,0.025829384
World,OWID_WRL,1923,0.04940743
World,OWID_WRL,1924,0.05545739
World,OWID_WRL,1925,0.08436141
World,OWID_WRL,1926,0.24183145
World,OWID_WRL,1927,0.13812429
World,OWID_WRL,1928,0.15554583
World,OWID_WRL,1929,-0.026352962
World,OWID_WRL,1930,0.19407724
World,OWID_WRL,1931,0.25814116
World,OWID_WRL,1932,0.21397778
World,OWID_WRL,1933,0.035649903
World,OWID_WRL,1934,0.18691353
World,OWID_WRL,1935,0.15109025
World,OWID_WRL,1936,0.19298774
World,OWID_WRL,1937,0.34791222
World,OWID_WRL,1938,0.35106725
World,OWID_WRL,1939,0.32215777
World,OWID_WRL,1940,0.43778524
World,OWID_WRL,1941,0.39831275
World,OWID_WRL,1942,0.36344865
World,OWID_WRL,1943,0.37031943
World,OWID_WRL,1944,0.5085881
World,OWID_WRL,1945,0.40686545
World,OWID_WRL,1946,0.24122432
World,OWID_WRL,1947,0.2679654
World,OWID_WRL,1948,0.23479094
World,OWID_WRL,1949,0.21008831
World,OWID_WRL,1950,0.12430362
World,OWID_WRL,1951,0.29207906
World,OWID_WRL,1952,0.37476888
World,OWID_WRL,1953,0.44093302
World,OWID_WRL,1954,0.24642856
World,OWID_WRL,1955,0.16527745
World,OWID_WRL,1956,0.09899167
World,OWID_WRL,1957,0.3290431
World,OWID_WRL,1958,0.34748483
World,OWID_WRL,1959,0.31743297
World,OWID_WRL,1960,0.25058928
World,OWID_WRL,1961,0.34955892
World,OWID_WRL,1962,0.3051238
World,OWID_WRL,1963,0.33255702
World,OWID_WRL,1964,0.06184069
World,OWID_WRL,1965,0.16166167
World,OWID_WRL,1966,0.21859619
World,OWID_WRL,1967,0.24825229
World,OWID_WRL,1968,0.19999647
World,OWID_WRL,1969,0.33616453
World,OWID_WRL,1970,0.27994427
World,OWID_WRL,1971,0.15987837
World,OWID_WRL,1972,0.27378127
World,OWID_WRL,1973,0.4164366
