Entity,Day,Don't know,Not worried at all,Not very worried,Fairly worried,Very worried
Ages 18-29,2021-01-14,12.871287,22.772278,33.66337,15.841584,14.851485
Ages 18-29,2021-07-15,10,14,37,26,13
Ages 18-29,2022-01-13,13,21,43,17,6
Ages 18-29,2022-07-14,10.10101,18.181818,37.373737,21.212122,13.131313
Ages 18-29,2023-01-12,13,16,26,30,15
Ages 18-29,2023-07-13,6.060606,21.212122,35.353535,29.292929,8.080808
Ages 18-29,2024-01-11,7,15,31,31,16
Ages 18-29,2024-07-11,8,16,39,24,13
Ages 18-29,2025-01-09,4.040404,19.19192,38.38384,26.262627,12.121212
Ages 18-29,2025-07-10,8.910892,18.811882,31.683168,31.683168,8.910892
Ages 18-29,2026-01-07,9,14,40,27,10
Ages 30-44,2021-01-14,4,36,30,21,9
Ages 30-44,2021-07-15,20,26,31,11,12
Ages 30-44,2022-01-13,9,24,33,23,11
Ages 30-44,2022-07-14,6.060606,22.222221,39.39394,23.232323,9.090909
Ages 30-44,2023-01-12,8,15,33,28,16
Ages 30-44,2023-07-13,5,20,34,30,11
Ages 30-44,2024-01-11,6.930693,17.821783,34.653465,28.712872,11.881188
Ages 30-44,2024-07-11,1.980198,21.782179,32.673267,31.683168,11.881188
Ages 30-44,2025-01-09,3,22,39,20,16
Ages 30-44,2025-07-10,5.940594,19.801981,37.623764,25.742575,10.891089
Ages 30-44,2026-01-07,7,16,39,28,10
Ages 45-64,2021-01-14,6,49,33,8,4
Ages 45-64,2021-07-15,2,49,32,15,2
Ages 45-64,2022-01-13,4.9504952,37.623764,42.574257,10.891089,3.960396
Ages 45-64,2022-07-14,2.970297,40.59406,38.61386,11.881188,5.940594
Ages 45-64,2023-01-12,3,44,35,12,6
Ages 45-64,2023-07-13,5,39,36,15,5
Ages 45-64,2024-01-11,3,41,35,14,7
Ages 45-64,2024-07-11,2.970297,38.61386,33.66337,14.851485,9.9009905
Ages 45-64,2025-01-09,7,30,35,19,9
Ages 45-64,2025-07-10,4,32,41,15,8
Ages 45-64,2026-01-07,2,34,34,21,9
Ages 65+,2021-01-14,4,51,32,9,4
Ages 65+,2021-07-15,3.960396,64.35644,20.79208,4.9504952,5.940594
Ages 65+,2022-01-13,3.030303,55.555557,27.272728,9.090909,5.050505
Ages 65+,2022-07-14,0,57,33,3,7
Ages 65+,2023-01-12,6.930693,61.38614,28.712872,0,2.970297
Ages 65+,2023-07-13,0,58.585857,29.292929,8.080808,4.040404
Ages 65+,2024-01-11,4.040404,71.71717,16.161615,8.080808,0
Ages 65+,2024-07-11,3,54,40,3,0
Ages 65+,2025-01-09,0,68,32,0,0
Ages 65+,2025-07-10,0,69.69697,16.161615,14.141414,0
Ages 65+,2026-01-07,5,39,49,7,0
All working adults,2021-01-14,7,38,32,14,9
All working adults,2021-07-15,11,33,32,16,8
All working adults,2022-01-13,8,30,38,17,7
All working adults,2022-07-14,5.050505,30.30303,38.38384,17.171717,9.090909
All working adults,2023-01-12,7,28,32,21,12
All working adults,2023-07-13,5,29,35,23,8
All working adults,2024-01-11,5,29,33,23,10
All working adults,2024-07-11,4.040404,28.282827,35.353535,22.222221,10.10101
All working adults,2025-01-09,4.040404,27.272728,37.373737,20.20202,11.111111
All working adults,2025-07-10,6,25,37,23,9
All working adults,2026-01-07,6,23,38,24,9
Men,2021-01-14,8.080808,39.39394,26.262627,16.161615,10.10101
Men,2021-07-15,9,36,29,17,9
Men,2022-01-13,6.930693,33.66337,37.623764,16.831684,4.9504952
Men,2022-07-14,6,31,32,18,13
Men,2023-01-12,6,26,28,25,15
Men,2023-07-13,5,29,35,24,7
Men,2024-01-11,5.050505,29.292929,32.32323,23.232323,10.10101
Men,2024-07-11,3.960396,28.712872,36.633663,19.801981,10.891089
Men,2025-01-09,3.960396,29.70297,33.66337,22.772278,9.9009905
Men,2025-07-10,4,30,34,23,9
Men,2026-01-07,4.9504952,23.762377,36.633663,23.762377,10.891089
Women,2021-01-14,5.050505,37.373737,39.39394,12.121212,6.060606
Women,2021-07-15,12.121212,30.30303,36.363636,13.131313,8.080808
Women,2022-01-13,9,27,39,16,9
Women,2022-07-14,5,30,45,16,4
Women,2023-01-12,8.910892,30.69307,35.643566,16.831684,7.920792
Women,2023-07-13,5,30,35,22,8
Women,2024-01-11,5,29,34,22,10
Women,2024-07-11,4.040404,28.282827,32.32323,25.252525,10.10101
Women,2025-01-09,5,23,41,18,13
Women,2025-07-10,8,21,39,23,9
Women,2026-01-07,7,23,39,24,7
