;murder;gini;infantmort;social;unemploy
Argentina;3,94;42,4;9,7;17;16,867
Australia;0,943354;33,8;3,7;18,1;9,272
Austria;0,986754;31,2;3,3;30,1;10,73
Belgium;1,1;26,8;3,7;29,6;17,652
Brazil;18,6911635;50,3;14,4;21,5;15,636
Bulgaria;1,169038792;39,5;5,9;21,3;12,72
Canada;1,982767536;31,5;5,4;21;11,587
Chile;6,106824964;43;6,9;12,5;20,189
China;0,5;36;6,1;10,8;16,853
Costa Rica;17,11531002;45,5;10,1;12,4;17,073
Croatia;1,01;30,1;5,1;20,9;18,9
Czechia;0,614762172;25,7;2,6;21,8;8,377
Denmark;0,836482411;29,9;3,9;28,1;11,746
Estonia;1,763997689;30,7;2,1;19,3;18,17
Finland;0,93;27,4;2,4;33,1;16,81
France;1,325348574;31,8;4,3;34,1;18,19
Germany;0,921323884;30,7;3,7;30,3;6,6
Greece;0,84595494;33,4;3,9;26;24,228
Hungary;0,702759971;28,2;3,8;18,4;12,1
Iceland;2,033576897;26,8;2,9;19,3;10,033
India;2,72;25,5;28;5,3;15,6
Ireland;0,704088997;29;3,8;13,8;10,7
Israel;3,717899427;38,3;3,4;17,5;6,027
Italy;0,566201158;34,3;2,8;30,4;21,091
Japan;0,228681249;32,3;2,4;26,3;4,481
Korea;0,49;32,9;2,9;13,4;5,391
Latvia;2,777968466;34;2,8;20,1;14,292
Lithuania;2,658170315;36;3,4;19,6;17,101
Luxembourg;1,53;33,6;2,2;24,1;15,596
Mexico;25,63788921;42,6;13,4;11;5,518
Netherlands;0,658301068;25,7;3,9;23,4;8,308
New Zealand;1,46;34;4,9;21;10,838
Norway;0,699343335;26,5;2,4;23,1;11,217
Poland;0,677232514;28,5;4,3;21,9;11,295
Portugal;0,71;33,9;3,2;25,3;20,785
Romania;1,120163104;29,6;6,9;18,3;21,465
Russia;7,821410658;33;5,3;19,4;10,642
Slovak Republic;1,071410509;23,8;6,2;22,1;22,13
Slovenia;0,707982479;24,7;2,3;24,8;10,796
South Africa;39,71897749;64;35;9,1;56,9
Spain;0,73;33,4;3;26,5;28,9
Sweden;0,867351831;29,3;2,4;28,2;22,3
Switzerland;0,5;33,8;3,5;16,7;8,1
Türkiye;2,4121507;43,7;13,8;13,5;14,147
United Kingdom;0,93;32,4;6,5;26,5;14,2
United States;5,76;41,8;4,5;26,4;8,8
